"","country","ID","voteLast","voteDuty","voteFamily","protest","contactPolit","boycott","authoritarian","finFreedom","debtGeneral","saving","debtOwn","debtAmount","employer","gender","age","ethnic","martialstat","residence..iso.","residence.comment","educ","income","assets","Total.time","Group.time..Political.Participation","Question.time..G1Q01","Question.time..G1Q02","Question.time..G1Q03","Question.time..G1Q04","Question.time..G1Q05","Question.time..G1Q06","Question.time..G1Q07","Group.time..Financial.Security","Question.time..G2Q01","Question.time..G2Q02","Question.time..G2Q03","Question.time..G2Q04","Question.time..G2Q05","Question.time..G2Q06","Group.time..Demographics","Question.time..G3Q01","Question.time..G3Q02","Question.time..G3Q03","Question.time..G3Q04","Question.time..G3Q05","Question.time..G3Q06"
"1","US",1,"No","Undecided","No","Not once","Never","No, I have not and will not boycott products for political reasons.","Agree","Of moderate importance","Strongly Agree","Very important","Debt causes some problems for me.",0,"For profit","Female","18 to 24","African American","Single (never married)","ND",NA,12,15000,4000,"145.52","62.62",NA,NA,NA,NA,NA,NA,NA,"37.97",NA,NA,NA,NA,NA,NA,"44.93",NA,NA,NA,NA,NA,NA
"2","US",2,"Yes","Strongly Agree","Yes","1 time","Never","No, but I am thinking about it.","Agree","Very important","Agree","Important","Debt does not seem to cause severe problems.",22300,"For profit","Female","25 to 34","White","Single (never married)","LA",NA,16,12000,30000,"91.22","26.98",NA,NA,NA,NA,NA,NA,NA,"35.08",NA,NA,NA,NA,NA,NA,"29.16",NA,NA,NA,NA,NA,NA
"3","US",3,"Yes","Strongly Agree","Yes","More than 3 times","Once","Yes, I have boycotted products in the past for political reasons.","Disagree","Of moderate importance","Agree","Important","Debt does not seem to cause severe problems.",0,"For profit","Male","25 to 34","White","Single (never married)","NY",NA,12,30000,10000,"174.77","54.3",NA,NA,NA,NA,NA,NA,NA,"44.21",NA,NA,NA,NA,NA,NA,"76.26",NA,NA,NA,NA,NA,NA
"4","US",4,"No","Agree","No","Not once","Never","No, I have not and will not boycott products for political reasons.","Strongly Disagree","Important","Agree","Important","Debt does not seem to cause severe problems.",34500,"Other","Male","55 to 64","White","Married","NC",NA,12,44000,45000,"187.12","60.47",NA,NA,NA,NA,NA,NA,NA,"67.66",NA,NA,NA,NA,NA,NA,"58.99",NA,NA,NA,NA,NA,NA
"5","US",5,"Yes","Agree","Yes","1 time","Once","No, but I am thinking about it.","Agree","Important","Agree","Important","Debt does not seem to cause severe problems.",359700,"Other","Male","25 to 34","African American","Married","FL",NA,5,40000,5000,"163.54","52.26",NA,NA,NA,NA,NA,NA,NA,"47.61",NA,NA,NA,NA,NA,NA,"63.67",NA,NA,NA,NA,NA,NA
"6","US",6,"Yes","Agree","Yes","2 times","Often","Yes, I have boycotted products in the past and also do it right now for political reasons.","Disagree","Important","Agree","Of moderate importance","Debt causes some problems for me.",71100,"For profit","Female","18 to 24","White","Single (never married)","MI","Grand Rapids",16,45000,3000,"68.02","22.4",NA,NA,NA,NA,NA,NA,NA,"19.55",NA,NA,NA,NA,NA,NA,"26.07",NA,NA,NA,NA,NA,NA
"7","US",7,"Yes","Agree","Yes","Not once","Once","No, but I am thinking about it.","Agree","Very important","Agree","Important","Debt does not seem to cause severe problems.",43100,"For profit","Male","25 to 34","White","Married","TX",NA,16,50000,20000,"82.89","32.6",NA,NA,NA,NA,NA,NA,NA,"20.9",NA,NA,NA,NA,NA,NA,"29.39",NA,NA,NA,NA,NA,NA
"8","US",8,"Yes","Agree","Yes","1 time","Once","No, but I am thinking about it.","Agree","Important","Agree","Very important","Debt does not seem to cause severe problems.",316000,"Other","Male","35 to 44","White","Single (never married)","CA",NA,4,100000,25000,"158.93","51.28",NA,NA,NA,NA,NA,NA,NA,"40.87",NA,NA,NA,NA,NA,NA,"66.78",NA,NA,NA,NA,NA,NA
"9","US",9,"Yes","Strongly Disagree","Yes","1 time","Often","Yes, I have boycotted products in the past for political reasons.","Agree","Of moderate importance","Agree","Important","Debt does not seem to cause severe problems.",410100,"Education","Male","25 to 34","African American","Married","NY",NA,16,43500,45000,"95.73","33.16",NA,NA,NA,NA,NA,NA,NA,"27.44",NA,NA,NA,NA,NA,NA,"35.13",NA,NA,NA,NA,NA,NA
"10","US",10,"Yes","Strongly Agree","Yes","2 times","Once","No, but I am thinking about it.","Undecided","Important","Agree","Very important","Debt does not seem to cause severe problems.",317500,"For profit","Male","65 and older","White","Married","MA",NA,5,10000,2,"237.21","74.54",NA,NA,NA,NA,NA,NA,NA,"35.57",NA,NA,NA,NA,NA,NA,"127.1",NA,NA,NA,NA,NA,NA
