;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Interest Rates selected indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Financial, Interest Rates, Monetary Policy-Related Interest Rate, Percent per annum;"getSelectionEl(0,6,""Indicator"")";"getSelectionEl(0,6,""Indicator"")";"getSelectionEl(0,6,""Indicator"")";;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Source: International Financial Statistics (IFS);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Country;Scale;Base Year;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017Q1
;World;;;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
;Advanced Economies;;;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
;Euro Area;Units;;...;...;...;...;...;...;...;...;...;3,00;4,75;3,25;2,75;2,00;2,00;2,25;3,50;4,00;2,50;1,00;1,00;1,00;0,75;0,75;0,30;...;...;...
;Slovak Republic;Units;;...;...;...;...;...;...;...;...;...;...;...;...;6,50;6,00;4,00;3,00;4,75;4,25;...;...;...;...;...;...;...;...;...;...
;Australia;Units;;...;8,50;5,75;4,75;7,50;7,50;6,00;5,00;4,75;5,00;6,25;4,25;4,75;5,25;5,25;5,50;6,25;6,75;4,25;3,75;4,75;4,25;3,00;2,50;2,50;2,00;1,50;1,50
;Canada;Units;;...;...;6,75;4,00;5,69;5,78;3,00;4,25;5,00;4,75;5,75;2,25;2,75;2,75;2,50;3,25;4,25;4,25;1,50;0,25;1,00;1,00;1,00;1,00;1,00;0,50;0,50;0,50
;Denmark;Units;;8,50;9,50;9,50;6,25;5,00;4,25;3,25;3,50;3,50;3,00;4,75;3,25;2,86;2,00;2,00;2,25;3,50;4,00;3,50;1,00;0,75;0,75;-;-;-;-;-;-
;Israel;Units;;...;...;...;...;...;14,20;15,20;13,40;13,50;11,20;8,20;5,66;9,10;5,20;3,90;4,50;5,00;4,00;2,50;1,00;2,00;2,75;2,00;1,00;0,25;0,10;0,10;0,10
;Korea, Republic of;Units;;...;...;...;...;...;...;...;...;...;...;5,25;4,00;4,25;3,75;3,25;3,75;4,50;5,00;3,00;2,00;2,50;3,25;2,75;2,50;2,00;1,50;1,25;1,25
;Singapore;Units;;0,50;1,50;1,75;1,13;0,63;0,88;1,38;1,00;2,00;1,00;2,48;1,23;0,84;0,57;1,46;3,19;3,32;0,98;0,44;0,31;0,20;0,18;0,18;0,64;0,77;1,21;1,17;1,54
;Sweden;Units;;...;...;...;...;...;...;...;...;...;...;...;...;...;3,00;2,00;1,50;2,50;3,50;2,00;0,50;0,50;1,91;1,14;1,00;1,00;-;-0,50;-0,50
;Switzerland;Units;;6,00;7,00;6,00;4,00;3,50;1,50;1,00;1,00;1,00;0,50;4,00;2,25;1,25;0,75;1,25;1,50;2,50;3,25;1,00;0,75;0,75;0,25;0,25;0,25;0,25;-0,25;-0,25;-0,25
;United Kingdom;Units;;13,88;10,38;6,88;5,38;6,13;6,38;5,94;7,25;6,25;5,50;6,00;4,00;4,00;3,75;4,75;4,50;5,00;5,50;2,00;0,50;0,50;0,50;0,50;0,50;0,50;0,50;0,25;...
;United States;Units;;7,00;4,00;3,00;3,00;5,50;5,50;5,25;5,50;4,75;5,50;6,50;1,83;1,25;1,00;2,25;4,25;5,25;4,25;0,13;0,13;0,13;0,13;0,13;0,13;0,13;0,38;0,63;0,88
;Emerging and Developing Economies;;;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
;Emerging and Developing Asia;;;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
;Bangladesh;Units;;9,75;9,25;8,50;6,00;5,50;6,00;7,00;8,00;8,00;7,00;7,00;6,00;6,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00
;Fiji;Units;;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;0,50;0,50;0,50;0,50;0,50;0,50;0,50
;Indonesia;Units;;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;4,75
;Malaysia;Units;;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;3,00;3,50;3,50;3,25;2,00;2,75;3,00;3,00;3,00;3,25;3,25;3,00;3,00
;Mongolia;Units;;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;9,75;10,00;11,00;12,25;13,25;10,50;12,00;13,00;14,00;14,00
;Nepal;Units;;11,00;...;13,00;11,00;11,00;11,00;11,00;9,00;9,00;9,00;7,50;6,50;5,50;5,50;5,50;6,00;6,25;6,25;6,50;6,50;7,00;7,00;8,00;8,00;8,00;7,00;7,00;7,00
;Papua New Guinea;Units;;...;...;...;...;...;...;...;...;...;...;...;...;14,00;14,00;7,00;6,00;6,00;6,00;8,00;7,00;7,00;7,75;6,75;6,25;6,25;6,25;6,25;6,25
;Philippines;Units;;...;...;...;...;...;...;...;...;...;...;...;...;7,20;6,98;6,84;7,14;7,59;6,83;5,56;...;...;...;...;3,52;3,69;4,00;3,42;3,00
;Thailand;Units;;...;...;...;...;...;...;...;...;...;...;...;2,25;1,75;1,25;2,00;4,00;5,00;3,25;2,75;1,25;2,00;3,25;2,75;2,25;2,00;1,50;1,50;1,50
;Vietnam;Units;;...;...;...;...;...;...;18,90;10,80;12,00;6,00;6,00;4,80;4,80;5,00;5,00;5,00;6,50;6,50;10,25;8,00;9,00;15,00;9,00;7,00;6,50;6,50;6,50;6,50
;Europe;;;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
;Emerging and Developing Europe;;;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
