"number","base_treaty","name","entry_type","full_fta","standards","investments","services","procurement","competition","iprs","depth_index","depth_rasch"
"1",1,"Afghanistan India","base treaty",0,1,0,0,0,1,0,2,-0.370565920730555
"2",2,"African Common Market","base treaty",1,0,0,0,0,0,0,1,-1.43010338995022
"3",3,"African Economic Community","base treaty",1,1,0,0,0,0,0,2,-1.43010338995022
"4",4,"Agadir Agreement","base treaty",1,1,0,0,0,0,0,2,-0.231064099541211
"5",5,"Albania Bosnia and Herzegovina","base treaty",1,1,0,0,0,0,0,2,0.915919883617618
"6",6,"Albania Bulgaria","base treaty",1,1,0,0,0,0,0,2,0.6876973276499
"7",7,"Albania Croatia","base treaty",1,1,0,0,0,0,0,2,0.861141856807316
"8",8,"Albania EC SAA","base treaty",1,1,0,1,1,0,0,4,1.17603126807745
"9",9,"Albania EFTA","base treaty",1,1,1,0,1,0,0,4,1.02219553016094
"10",10,"Albania Kosovo","base treaty",1,1,0,0,0,0,0,2,0.861141856807225
"11",11,"Albania Macedonia","base treaty",1,1,0,0,0,0,0,2,0.861141856807225
"12",12,"Albania Moldova","base treaty",1,1,0,0,0,0,0,2,0.915919883617618
"13",13,"Albania Romania","base treaty",1,1,0,0,0,0,0,2,0.49490967401689
"14",14,"Albania Serbia","base treaty",1,1,0,0,0,0,0,2,0.91591988361765
"15",15,"Albania Turkey","base treaty",1,1,0,0,0,0,0,2,0.747268409001945
"16",16,"Algeria EC","base treaty",0,0,0,0,0,1,0,1,0.0977138215904128
"17",17,"Algeria EC Euro-Med Association Agreement","base treaty",1,1,0,1,0,0,0,3,0.494909674016914
"18",18,"Algeria Jordan","base treaty",1,0,0,0,0,0,0,1,-0.53527495491679
"19",19,"Algeria Morocco","base treaty",1,0,0,0,0,1,0,2,-0.000736132187408954
"20",20,"Algeria Tunisia","base treaty",0,1,0,0,0,0,0,1,-0.535274955106794
"22",22,"Andean Community Brazil","base treaty",0,1,0,0,0,0,0,1,-0.000736132187356486
"694a",23,"Andean Community Sucre Protocol","consolidated",1,0,0,0,0,0,0,1,-0.738651317663807
"24",24,"Andean Countries Argentina","base treaty",0,1,0,0,0,0,0,1,-0.000736132187356486
"25",25,"Andean Countries MERCOSUR","base treaty",0,0,0,0,0,0,0,0,-0.000736132287944866
"26",26,"Andean Group Cartagena Agreement","base treaty",0,0,0,0,0,0,0,0,-0.370565920730597
"27a",26,"Andean Group Quito Protocol","consolidated",1,1,0,0,0,0,0,2,-0.231064099057631
"23a",27,"Andean Community Trujillo Protocol","consolidated",1,1,0,0,0,0,0,2,-0.535274954878768
"28",28,"Andorra EC","base treaty",1,0,0,0,0,0,0,1,-1.00955547679032
"29",29,"Arab Common Market","base treaty",1,0,0,0,0,0,0,1,-0.370565920730577
"30",30,"Arab Maghreb Union","base treaty",0,0,0,0,0,0,0,0,-1.43010338995022
"32",32,"Argentina Brazil","base treaty",0,0,0,0,1,0,0,1,-0.370565920730598
"33",33,"Argentina Brazil","base treaty",0,0,0,0,0,0,0,0,-0.109313833128137
"34",34,"Argentina Brazil","base treaty",0,0,0,0,0,0,0,0,-1.43010338995022
"35",35,"Argentina Chile","base treaty",0,1,0,0,0,1,0,2,0.0977138215904595
"36",36,"Argentina Colombia","base treaty",0,0,0,0,0,0,0,0,-1.43010338995022
"39",39,"Argentina Cuba","base treaty",0,0,0,0,0,0,0,0,-1.43010338995022
"40",40,"Argentina Ecuador","base treaty",0,0,0,0,0,0,0,0,-1.43010338995022
"41",41,"Argentina Ecuador","base treaty",0,1,0,0,0,0,0,1,-0.738650751704848
"43",43,"Argentina Mexico","base treaty",0,0,0,0,0,0,0,0,-1.00955547679046
"45",45,"Argentina Paraguay","base treaty",0,0,0,0,0,0,0,0,-1.43010338995022
