"Data Source","World Development Indicators",

"Last Updated Date","2017-11-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Albania","ALB","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Armenia","ARM","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.7842969507441","52.2971607623921","71.0004218825951","69.9651289334657","74.3386566641949","72.8468235100798","73.9459557404606","73.1741808703377","72.9586298668765","66.9669047239845","70.5080900821934","78.6698787410336","85.4298285638182","97.5149955395376","105.862470211594","97.91713430497","100","100.086167284969","96.817961782368","97.9689071023379","101.78904945259","104.880890555354","103.606028511271","",
"American Samoa","ASM","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","128.748531766008","133.085986401867","145.803559155033","150.596368020233","154.90345186546","163.172065700738","161.557201337199","142.090983242954","132.576003850057","132.406043829915","135.289736774834","130.245822950318","132.246988984489","130.41230956833","138.581836829372","114.139764762487","110.48516425891","112.442253978996","112.331625576306","116.16460891018","113.791837810282","111.289795160356","113.508229804407","114.256984857397","110.510646942106","107.138256996458","110.333146152049","108.231024829442","98.4302156201807","92.7052325172354","96.575181222122","100","98.3522424007074","104.112528867867","102.077962500728","99.5010455761064","109.524713408691","104.601834907065","",
"Australia","AUS","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","92.1139079490672","100.118847697652","100.337595297","98.3845237044378","101.467196892918","85.4235051440986","74.7101720695213","74.5206917180365","82.1013709319167","87.986085350588","85.6746793855311","84.3874454973059","76.3040526155065","71.0983188322639","74.6262468097326","72.9130691674335","79.7642813926777","79.3273869294841","72.5778338942975","72.8779176505084","69.73601253554","66.8513203025488","70.1279839471541","78.4991794531096","84.4928154112464","87.1423513435834","86.3181496847315","91.3174023541854","89.8021099622364","87.3291350172783","100","107.075197221473","109.799113865789","105.173763954289","100.120858916655","92.8738587255645","93.2387731378985","",
"Austria","AUT","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","85.1659337498824","85.6842288385432","86.8875954380372","85.6823764744557","86.9883119128379","87.9160492469551","87.4354797132437","84.8632008821588","84.7315062623401","84.9431829763017","88.5508608069799","91.9247923107931","93.1387612232411","95.9558232722391","98.5929282037643","97.3856427945437","96.3472484356301","96.4197395163265","93.1303158979755","94.3793732696585","94.3876125125095","95.230846951354","94.9032101843954","99.0276814932512","101.743929870802","101.165175439664","99.8337131737625","101.518087068971","99.6053253710903","101.452094737908","104.164639153324","104.844319637728","108.802224752386","106.299746630036","101.703787171063","101.2242243134","99.4896459637155","96.3176891841705","96.4531906810156","97.221540646042","100.577639101384","101.848252016561","101.2825467091","100.532986549688","101.302922926686","101.996056993202","102.788634249271","100","100.47857811954","98.8351888006123","101.003960061673","102.252168190551","99.556836307102","100.839361512092","",
"Azerbaijan","AZE","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burundi","BDI","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","168.963751230212","168.542834842899","162.030061378886","145.932713282506","151.518266479486","183.974363885144","169.485988011401","204.300275126645","224.971498227247","242.713098632285","224.945546805004","229.58313884448","197.42694930494","169.047817789967","148.557455251224","150.398522784577","131.948536740164","135.077119450911","118.194079525531","115.751079310276","121.900579131488","128.70280357247","132.832455933248","157.01660489879","143.164637250506","117.764028955794","121.815426380307","116.797859528393","101.487215161814","82.8231274060908","79.8670722584206","87.5959324318732","90.8655015433208","85.9369953377548","88.7879994639781","97.5857726882487","100","99.5739206298398","102.546173482816","102.562922939664","106.702869506952","121.563654873348","121.198731563782","",
"Belgium","BEL","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","102.49355542265","103.474200105605","103.917750794558","104.075388225754","104.774570986162","105.608516776761","104.986746310056","103.981079295695","101.828766720447","104.428228200299","105.424306464589","107.967736672362","111.27240967417","114.873131075735","119.137942658078","119.834893518221","117.069239830653","111.944171309206","103.929698505826","94.8093202412524","93.7323820626657","93.1640691089104","94.3115089457646","98.2758733808398","101.301199317849","98.5896611054547","97.2164572272993","101.210490777372","99.8640041117106","100.844981134525","100.888580637097","102.514527927493","106.197002664343","103.511731645657","97.232116204607","96.8727559217994","95.2183577990657","91.0983929294348","91.672136655885","93.0951343924162","97.4378452601257","99.1198812011603","99.2705193713047","98.8635628142927","99.7393581654177","103.103015079766","103.294146293413","100","101.005979573427","98.7874866787496","100.360246635616","99.7014924719285","95.1283256120632","97.9139605356267","",
"Benin","BEN","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burkina Faso","BFA","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bangladesh","BGD","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bulgaria","BGR","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.0302642542466","45.5288085467706","53.669222813909","46.3160228712942","56.5986360842221","65.4810678316957","67.1160274952281","69.167169560439","72.4838551125155","75.7640656022034","78.6261619520841","82.5478781418352","82.5948319276995","86.2744877073874","91.2777766863306","99.7631150119571","104.061463794455","100","102.714434183057","100.717377825239","101.978631752823","101.426792059202","98.2013768343273","98.3919517726175","",
"Bahrain","BHR","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","182.46490014104","201.882734903028","226.164785034944","234.527466473572","239.928939589358","233.137712714275","189.957911160457","164.213957381953","150.832725266629","152.560573049256","139.818814724007","135.04802953667","128.290447784678","134.833792920325","130.132120176183","123.966802222228","123.310346185795","131.354281771948","134.176051886517","130.291236345755","133.008475122553","137.083457903212","140.468173803476","129.406809502547","118.18931488875","111.329291322859","113.816179426538","106.421958927","97.9627315933662","102.421312595955","100","93.2515759072242","95.8678101446093","98.4142536684906","100.744115264333","111.479926848432","114.47046705409","",
"Bahamas, The","BHS","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","97.5766605872807","102.529579569807","105.318841233627","108.475994823768","111.60913114553","113.974595492682","110.259275145261","107.978416763772","106.57237926902","108.491787091038","105.030963518721","108.34831459633","111.172965265353","113.675709190796","109.206240834132","102.773806951916","103.106450537926","107.421570962944","113.445155548008","110.754762939047","112.52042344311","115.755716825626","114.4150169622","108.558324065947","103.02176899198","100.652249276541","99.0962012199601","95.2362199364782","94.9733831562774","101.864971233622","100","96.597983414714","99.5636525638275","98.4055797337188","98.6377148930508","109.711762197686","109.77501259038","",
"Bosnia and Herzegovina","BIH","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belize","BLZ","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","108.754476079612","118.796504287265","126.295230830988","133.50733011731","139.019776425439","150.142225589415","134.461344396835","124.723583771466","120.993115026518","121.340288725061","114.930566547533","111.506595573858","108.187944886725","110.185290787793","109.784107291601","107.585331120207","112.012436827099","113.485194849075","116.998350261465","117.749809300849","120.237605015015","124.11849625383","126.428799981218","122.699207536138","123.513339677005","117.459220503349","105.442756540056","99.3051237263101","98.7852482772703","103.188328384818","100","94.8104429577387","96.6517066591223","95.5161710549445","96.1386034754214","104.320315574294","106.096265798246","",
"Bermuda","BMU","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","157.374423573739","199.777527832928","215.745544829296","201.216849144691","265.426289338497","455.548423180997","133.391123117716","126.648350908042","120.8234171628","116.184909908921","95.8651950438092","99.5062046959246","97.9346191731274","97.0047468055711","92.5479661130327","90.0389203590836","94.1946229864737","96.302994132775","100.670800093844","103.7009474037","101.965305522158","101.420096824668","106.510035251667","95.7311814694665","89.0703074624192","84.9696516833281","84.1603318941871","85.0948062669487","96.2146105527507","105.174658015064","100","101.870842742154","107.161749163093","113.138271427111","122.111789558479","141.751475555052","150.360971799555","",
